"filename", "language", "TypeScript", "TypeScript JSX", "PostCSS", "XML", "comment", "blank", "total"
"c:\frontend\react\nocapcut\src\assets\react.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\frontend\react\nocapcut\src\components\App.tsx", "TypeScript JSX", 0, 213, 0, 0, 0, 15, 228
"c:\frontend\react\nocapcut\src\components\ButtonWithIcon.tsx", "TypeScript JSX", 0, 16, 0, 0, 0, 4, 20
"c:\frontend\react\nocapcut\src\components\DraggableAndResizableRect.tsx", "TypeScript JSX", 0, 51, 0, 0, 0, 4, 55
"c:\frontend\react\nocapcut\src\components\DraggableAndResizableText.tsx", "TypeScript JSX", 0, 159, 0, 0, 0, 22, 181
"c:\frontend\react\nocapcut\src\components\EditTextForm.tsx", "TypeScript JSX", 0, 35, 0, 0, 0, 4, 39
"c:\frontend\react\nocapcut\src\components\ExportVideoDialog.tsx", "TypeScript JSX", 0, 96, 0, 0, 0, 5, 101
"c:\frontend\react\nocapcut\src\components\FilesPreview.tsx", "TypeScript JSX", 0, 83, 0, 0, 0, 5, 88
"c:\frontend\react\nocapcut\src\components\Home.tsx", "TypeScript JSX", 0, 66, 0, 0, 0, 5, 71
"c:\frontend\react\nocapcut\src\components\ImportButton.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, 4, 29
"c:\frontend\react\nocapcut\src\components\ImportFiles.tsx", "TypeScript JSX", 0, 32, 0, 0, 0, 4, 36
"c:\frontend\react\nocapcut\src\components\ShowVideoDialog.tsx", "TypeScript JSX", 0, 34, 0, 0, 0, 5, 39
"c:\frontend\react\nocapcut\src\components\TimelinePlayhead.tsx", "TypeScript JSX", 0, 65, 0, 0, 0, 7, 72
"c:\frontend\react\nocapcut\src\components\VideoPlayer.tsx", "TypeScript JSX", 0, 75, 0, 0, 0, 5, 80
"c:\frontend\react\nocapcut\src\components\index.ts", "TypeScript", 3, 0, 0, 0, 0, 2, 5
"c:\frontend\react\nocapcut\src\components\ui\button.tsx", "TypeScript JSX", 0, 54, 0, 0, 0, 6, 60
"c:\frontend\react\nocapcut\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 121, 0, 0, 0, 13, 134
"c:\frontend\react\nocapcut\src\components\ui\input.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 4, 22
"c:\frontend\react\nocapcut\src\components\ui\label.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 4, 23
"c:\frontend\react\nocapcut\src\components\ui\tabs.tsx", "TypeScript JSX", 0, 58, 0, 0, 0, 7, 65
"c:\frontend\react\nocapcut\src\components\ui\toggle-group.tsx", "TypeScript JSX", 0, 65, 0, 0, 0, 7, 72
"c:\frontend\react\nocapcut\src\components\ui\toggle.tsx", "TypeScript JSX", 0, 42, 0, 0, 0, 6, 48
"c:\frontend\react\nocapcut\src\constants\index.ts", "TypeScript", 2, 0, 0, 0, 14, 0, 16
"c:\frontend\react\nocapcut\src\customTypes\index.ts", "TypeScript", 40, 0, 0, 0, 0, 10, 50
"c:\frontend\react\nocapcut\src\hooks\useFilesPreview.ts", "TypeScript", 60, 0, 0, 0, 0, 11, 71
"c:\frontend\react\nocapcut\src\hooks\useFilesUpload.ts", "TypeScript", 48, 0, 0, 0, 0, 5, 53
"c:\frontend\react\nocapcut\src\hooks\useVideoEditing.ts", "TypeScript", 207, 0, 0, 0, 0, 21, 228
"c:\frontend\react\nocapcut\src\hooks\useVideoPlayer.ts", "TypeScript", 92, 0, 0, 0, 0, 15, 107
"c:\frontend\react\nocapcut\src\index.css", "PostCSS", 0, 0, 137, 0, 0, 8, 145
"c:\frontend\react\nocapcut\src\lib\utils.ts", "TypeScript", 5, 0, 0, 0, 0, 2, 7
"c:\frontend\react\nocapcut\src\main.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 2, 6
"c:\frontend\react\nocapcut\src\router\AppRouter.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 4, 17
"c:\frontend\react\nocapcut\src\utils\index.ts", "TypeScript", 85, 0, 0, 0, 0, 15, 100
"c:\frontend\react\nocapcut\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 1, 1, 2
"Total", "-", 542, 1344, 137, 1, 15, 232, 2271